Role,Message,Timestamp
Assistant,"Here are the eligibility criteria for various courses at Vimala College:

**M Sc Psychology (Self Finance)**
* A pass in BA / BA (Honours) / B.Sc degree with Psychology core (main) from University of Calicut or a recognised degree with Psychology core (main), in regular mode.

**M A Sociology (Self Finance)**
* Any UG degree (10+2+3 or more years pattern including Professional degrees), with at least 50% aggregate marks or equivalent Overall CGPA.
* OBC/OEC candidates: 5% relaxation.
* SC/ST candidates: Pass.

**M Sc Home Science (Nutrition & Dietetics) (Self Finance)**
* B.Sc. Degree with Home Science / Family & Community Science / Dietetics / Clinical Nutrition / Nutrition and Dietetics / Food Science with Quality Control / Food Science and Nutrition / Food Service Management and Dietetics or other Nutrition related degree programmes, and BVoc Nutrition Science and Dietetics.
* At least 50% aggregate marks or equivalent overall CGPA.
* OBC/OEC candidates: 5% relaxation.
* SC/ST candidates: Pass.

**M Sc Home Science (Textiles & Costume Science) (Self Finance)**
* Any degree with at least 50% aggregate marks or equivalent overall CGPA.
* OBC/OEC candidates: 5% relaxation.
* SC/ST candidates: Pass.

**M Sc Botany (Self Finance)**
* Bachelor degree in Botany or Plant Science.
* Minimum 50% marks or equivalent CGPA in the Core (Main) subject.
* OBC/OEC candidates: 5% relaxation.
* SC/ST candidates: Pass.

**M Sc Chemistry (Self Finance)**
* B.Sc. Degree with Chemistry / Industrial Chemistry / Polymer Chemistry (Core/Main), with Mathematics as one of its subsidiaries/complementaries.
* At least 50% aggregate marks or equivalent Overall CGPA.
* OBC/OEC candidates: 5% relaxation.
* SC/ST candidates: Pass.

**M Sc Computer Science (Specialized in Data Science) (Self Finance)**
* BSc (Computer Science or Information Technology or Electronics or Physics or Mathematics or Statistics or Chemistry) or BCA / B.Voc in Software Technology / B.Voc in Software Development / BVoc Data Science / BVoc Mathematics and AI / BVoc IT.
* At least 55% aggregate marks or equivalent overall CGPA.
* OBC/OEC",2026-05-06T12:17:35.569314
User,ranking,2026-05-06T12:18:23.389221
Assistant,"I am designed to assist only with information related to Vimala College (Autonomous), Thrissur admissions and academic programs. I do not provide rankings. Please refer to vimalacollege.edu.in for more information.",2026-05-06T12:18:23.389807
User,PhD,2026-05-06T12:18:28.291163
Assistant,"Here are the PhD programs offered by Vimala College:

**PhD Programs**
- English
- Commerce
- Physics
- Economics
- Malayalam
- Social Work
- Chemistry
- Botany
- Sociology
- Statistics
- Zoology

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:18:28.291163
User,give me  nirf ranking,2026-05-06T12:18:44.951518
Assistant,"Here are the NIRF rankings for Vimala College:

* 2025: Rank 78
* 2024: Rank 80

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:18:44.952549
User,give kirf ranking,2026-05-06T12:18:57.023159
Assistant,"Here are the KIRF rankings for Vimala College:

* 2025: Rank 3
* 2024: Rank 6

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:18:57.023159
User,nacc accredition,2026-05-06T12:19:07.580539
Assistant,"Vimala College (Autonomous), Thrissur has received a NAAC accreditation of:

**Cycle 4: Grade A+, CGPA 3.45**

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:19:07.580539
User,NAAC Accreditation Details,2026-05-06T12:19:24.237674
Assistant,"Vimala College (Autonomous), Thrissur has received a NAAC accreditation of:

**Cycle 4: Grade A+, CGPA 3.45**

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:19:24.239301
User,nthokind,2026-05-06T12:19:35.677828
Assistant,"It seems like you haven't asked a question yet. Please go ahead and ask your question, and I'll do my best to assist you.",2026-05-06T12:19:35.678342
User,i love you,2026-05-06T12:19:45.922185
Assistant,"Thank you for your sentiment. I'm here to assist you with any questions or information related to Vimala College (Autonomous), Thrissur. If you have any specific queries about our courses, admissions, or other academic programs, feel free to ask.",2026-05-06T12:19:45.923249
User,i hate you,2026-05-06T12:19:58.148665
Assistant,"I'm here to assist you with any questions or information related to Vimala College (Autonomous), Thrissur. If you have any specific queries about our courses, admissions, or other academic programs, feel free to ask. I'm here to help. 

If you would like to know more about:",2026-05-06T12:19:58.148665
User,i am depressed,2026-05-06T12:20:08.030043
Assistant,"I'm here to listen and help if I can. If you're feeling depressed, it's essential to reach out to someone who can provide support and guidance. 

Here are some helplines and resources that might be helpful:

* National Suicide Prevention Lifeline (US): 1-800-273-TALK (8255)
* Crisis Text Line (US): Text HOME to 741741
* Your healthcare provider or therapist
* Local mental health resources and support groups

At Vimala College, we also have various student support services, including counseling and mentorship programs. If you're a student, you can reach out to our college counseling center or student support services for help.

Remember, you're not alone, and there are people who care about you and want to help.",2026-05-06T12:20:08.030043
User,Student Support Services,2026-05-06T12:20:37.451928
Assistant,"Vimala College (Autonomous), Thrissur offers various student support services, including:

* Counseling center
* Mentorship programs
* Campus Ministry
* Alumnae association
* Clubs and forums (e.g., Vinspiration, V-Podcast, Lend A Hand, Zero Gravity, College Union, IIC, Fit India Fit Vimala)
* Support groups (e.g., Pakalveedu)

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:20:37.452942
User,Clubs and Forums,2026-05-06T12:20:53.239225
Assistant,"Vimala College offers various clubs and forums, including:

* Vinspiration
* V-Podcast
* Lend A Hand
* Zero Gravity
* College Union
* IIC (Institution's Innovation Council)
* Fit India Fit Vimala
* Pakalveedu
* Explorigate
* V-Tube
* V-Album
* VIRJ
* V-Track
* V-Publish
* CGPT

You may also visit our website https://vimalacollege.edu.in/ for more information.",2026-05-06T12:20:53.241261
User,hai,2026-05-06T12:23:58.511824
Assistant,"Hello! Welcome to Vimala College (Autonomous), Thrissur. How can I assist you today?",2026-05-06T12:23:58.513919
User,naac,2026-05-06T12:24:04.048978
Assistant,"I'm sorry, but I couldn't find information on NAAC in the provided context. However, you can visit our official website (https://vimalacollege.edu.in/) for more information on NAAC or other details about Vimala College.",2026-05-06T12:24:04.051534
User,nacc rankimg,2026-05-06T12:24:17.956609
Assistant,"Vimala College (Autonomous), Thrissur has received a NAAC accreditation of Grade A+, with a CGPA of 3.45 in Cycle 4.",2026-05-06T12:24:17.960227
User,NAAC accreditation details,2026-05-06T12:24:36.276828
Assistant,"Vimala College (Autonomous), Thrissur has received a NAAC accreditation of Grade A+, with a CGPA of 3.45 in Cycle 4.",2026-05-06T12:24:36.277851
User,Can you tell me about the zoology course,2026-05-06T12:42:21.528225
Assistant,"We offer courses in Zoology at both undergraduate and postgraduate levels.

## Aided Courses
### UG Courses
- **B Sc Zoology**: Eligibility requires HSE Kerala or equivalent with Biology as a compulsory paper. The index mark is calculated using Total Part III + Biology or Zoology marks.

### PG Courses
- **M Sc Zoology**: Eligibility requires a B.Sc degree with Zoology (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

## Self-Financing Courses
### PG Courses
- **M Sc Zoology**: Same eligibility criteria as the aided course.

## PhD Program
We also offer a **PhD in Zoology**.",2026-05-06T12:42:21.531017
User,UG,2026-05-06T12:42:38.530185
Assistant,"## Aided Courses
- **B Sc Zoology**: 
  • HSE Kerala or equivalent with Biology as a compulsory paper
  • Index Mark: Total Part III + Biology or Zoology marks.
  • Tie Break: Priority to main subject; then compulsory subsidiary, second subsidiary, English, second language, general conditions.

- **B Sc Botany**: 
  • HSE Kerala or equivalent with Biology as a compulsory paper
  • Index Mark: Total Part III + Biology or Botany marks.
  • Tie Break: Priority to main subject; then compulsory subsidiary, second subsidiary, English, second language, general conditions.

- **B Sc Chemistry**: 
  • HSE Kerala Higher Secondary or equivalent with science subjects
  • Index Mark: Total Part III + Chemistry marks.
  • Tie Break: Priority to main subject; then compulsory subsidiary, second subsidiary, English, second language, general conditions.

- **B Sc Family & Community Science**: 
  • HSE Kerala or equivalent with science subjects
  • Index Mark: Total Part III + Biology or Home Science (whichever is higher).
  • Tie Break: Priority to main subject; then compulsory subsidiary, second subsidiary, English, second language, general conditions.

- **BA Economics**: 
  • HSE Kerala or equivalent
  • Index Mark: Total Plus Two marks + 50 marks weightage for Economics as an optional subject.
  • Tie Break: Optional subject marks; then English, additional/second language, general conditions.

## Self-Financing Courses
- **B Sc Zoology**: 
  • HSE Kerala or equivalent with Biology as a compulsory paper
  • Index Mark: Total Part III + Biology or Zoology marks.
  • Tie Break: Priority to main subject; then compulsory subsidiary, second subsidiary, English, second language, general conditions.",2026-05-06T12:42:38.532226
User,PG,2026-05-06T12:43:32.887597
Assistant,"## Aided Courses
- **M Sc Zoology**: 
  • Eligibility: B.Sc degree with Zoology (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

- **M Sc Botany**: 
  • Eligibility: B.Sc degree with Botany (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

## Self-Financing Courses
- **M Sc Zoology**: 
  • Eligibility: B.Sc degree with Zoology (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

- **M Sc Botany**: 
  • Eligibility: B.Sc degree with Botany (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

## Other PG Courses
- **M Sc Chemistry**: 
  • Eligibility: B.Sc degree with Chemistry (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

- **M Sc Physics**: 
  • Eligibility: B.Sc degree with Physics (Main/Core) from this University or an equivalent degree, with at least 50% marks or equivalent CGPA in Core (Part III excluding subsidiaries). 
  • OBC/OEC candidates have a 5% relaxation, and SC/ST candidates need only a pass.

## PhD Programs
We also offer various PhD programs.",2026-05-06T12:43:32.889113
User,fees?,2026-05-06T12:44:04.741629
Assistant,"I am designed to assist only with information related to Vimala College (Autonomous), Thrissur admissions and academic programs.",2026-05-06T12:44:04.744271
User,courses,2026-05-06T12:44:24.198995
Assistant,"## Aided Courses
### UG Courses
- **B Sc Mathematics**
- **B Sc Statistics**
- **B Sc Physics**
- **B Sc Chemistry**
- **B Sc Botany**
- **B Sc Zoology**
- **B Sc Family & Community Science**
- **B Sc Computer Science**
- **BA English Language & Literature**
- **BA Functional English**
- **BA Economics**
- **BA Sociology**
- **BA Malayalam Literature**
- **B Com (Finance)**

### PG Courses
- **M A English**
- **M A Economics**
- **M A Malayalam**
- **M Com**
- **M S W**
- **M Sc Physics**
- **M Sc Zoology**

## Self-Financing Courses
### UG Courses
- **B Com (Finance)**
- **B Sc Psychology**
- **B Sc Textiles & Fashion Technology**
- **B Voc Food Processing**
- **B Voc Web Technology**

### PG Courses
- **M Sc Home Science (Textiles & Costume Science)**
- **M Sc Chemistry**
- **M Sc Zoology**
- **M Sc Botany**
- **M Sc Mathematics**
- **M Sc Statistics**
- **M Sc Psychology**
- **M A Sociology**
- **M Sc Computer Science (Specialized in Data Science)**
- **M Sc Home Science (Nutrition & Dietetics)**

## PhD Programs
We also offer various PhD programs.",2026-05-06T12:44:24.202563
